"","Cod_Mun","Sigla_UF","Nome_Municipio","Pop_2015","Consorcio_Saude","Coluna","Conta","Valor","Obitos","gasto_saude_percapita","percent_obitos"
"1",110001,"RO","ALTA FLORESTA DOESTE",25578,"Não","Despesas Empenhadas","10 - Saúde",12888968.92,144,503.908394714208,0.562983814215341
"2",110002,"RO","ARIQUEMES",104401,"Não","Despesas Empenhadas","10 - Saúde",48117624.63,511,460.892372965776,0.4894589132288
"3",110003,"RO","CABIXI",6355,"Não","Despesas Empenhadas","10 - Saúde",4641256.55,28,730.331479150275,0.44059795436664
"4",110004,"RO","CACOAL",87226,"Não","Despesas Empenhadas","10 - Saúde",38038407.94,440,436.090247632587,0.504436750510169
"5",110005,"RO","CEREJEIRAS",17986,"Não","Despesas Empenhadas","10 - Saúde",11825600.54,80,657.489188257534,0.444790392527521
"6",110006,"RO","COLORADO DO OESTE",18817,"Não","Despesas Empenhadas","10 - Saúde",8832914.32,87,469.411400329489,0.462347876919807
"7",110007,"RO","CORUMBIARA",8842,"Não","Despesas Empenhadas","10 - Saúde",5812475.19,42,657.37109138204,0.475005654829224
"8",110008,"RO","COSTA MARQUES",16651,"Não","Despesas Empenhadas","10 - Saúde",4437709.58,66,266.513097111285,0.396372590234821
"9",110009,"RO","ESPIGAO D'OESTE",32385,"Não","Despesas Empenhadas","10 - Saúde",12802712.29,149,395.328463486182,0.460089547630076
"10",110010,"RO","GUAJARA-MIRIM",46632,"Não","Despesas Empenhadas","10 - Saúde",24437877.83,208,524.058110953851,0.446045633899468
"11",110011,"RO","JARU",55738,"Não","Despesas Empenhadas","10 - Saúde",22039524.05,260,395.412896946428,0.466468118698195
"12",110012,"RO","JI-PARANA",130419,"Sim","Despesas Empenhadas","10 - Saúde",56042029.59,591,429.707554804131,0.45315483173464
"13",110013,"RO","MACHADINHO D'OESTE",37167,"Não","Despesas Empenhadas","10 - Saúde",13795020.42,149,371.163139882154,0.400893265531251
"14",110014,"RO","NOVA BRASILANDIA D'OESTE",21592,"Não","Despesas Empenhadas","10 - Saúde",8342846.41,75,386.385995276028,0.347350870692849
"15",110015,"RO","OURO PRETO DO OESTE",39924,"Não","Despesas Empenhadas","10 - Saúde",9248590.37,191,231.654903566777,0.478408977056407
"16",110018,"RO","PIMENTA BUENO",37512,"Não","Despesas Empenhadas","10 - Saúde",21395554.75,187,570.365609671572,0.498507144380465
"17",110020,"RO","PORTO VELHO",502748,"Não","Despesas Empenhadas","10 - Saúde",280919510.52,2269,558.768031936477,0.451319547765481
"18",110025,"RO","PRESIDENTE MEDICI",22557,"Sim","Despesas Empenhadas","10 - Saúde",12978452.76,125,575.362537571486,0.554151704570643
"19",110026,"RO","RIO CRESPO",3750,"Não","Despesas Empenhadas","10 - Saúde",3365659.84,11,897.509290666667,0.293333333333333
"20",110028,"RO","ROLIM DE MOURA",56242,"Não","Despesas Empenhadas","10 - Saúde",32769601.72,282,582.653563529035,0.501404644216066
"21",110029,"RO","SANTA LUZIA D'OESTE",8532,"Não","Despesas Empenhadas","10 - Saúde",4852247.84,46,568.711654946085,0.539146741678387
"22",110030,"RO","VILHENA",91801,"Não","Despesas Empenhadas","10 - Saúde",60006123.53,437,653.654355943835,0.47602967287938
"23",110032,"RO","SAO MIGUEL DO GUAPORE",23933,"Sim","Despesas Empenhadas","10 - Saúde",12901564.39,104,539.070086909288,0.434546442151005
"24",110033,"RO","NOVA MAMORE",27600,"Sim","Despesas Empenhadas","10 - Saúde",11968949.93,106,433.65760615942,0.384057971014493
"25",110034,"RO","ALVORADA D'OESTE",17063,"Não","Despesas Empenhadas","10 - Saúde",8199560.46,83,480.546238058958,0.486432632010784
"26",110037,"RO","ALTO ALEGRE DOS PARECIS",13940,"Não","Despesas Empenhadas","10 - Saúde",4762524.85,53,341.644537302726,0.380200860832138
"27",110040,"RO","ALTO PARAISO",20210,"Sim","Despesas Empenhadas","10 - Saúde",7677675.33,78,379.894870361207,0.385947550717467
"28",110045,"RO","BURITIS",37838,"Não","Despesas Empenhadas","10 - Saúde",11990768.22,138,316.897516253502,0.36471272265976
"29",110050,"RO","NOVO HORIZONTE DO OESTE",10276,"Não","Despesas Empenhadas","10 - Saúde",4802014.59,39,467.303872129233,0.379525107045543
"30",110060,"RO","CACAULANDIA",6367,"Sim","Despesas Empenhadas","10 - Saúde",7767125.96,28,1219.90355897597,0.439767551437098
"31",110070,"RO","CAMPO NOVO DE RONDONIA",14220,"Não","Despesas Empenhadas","10 - Saúde",5919075.28,43,416.250019690577,0.30239099859353
"32",110080,"RO","CANDEIAS DO JAMARI",24155,"Não","Despesas Empenhadas","10 - Saúde",9335558.69,110,386.485559511488,0.455392258331608
"33",110090,"RO","CASTANHEIRAS",3617,"Não","Despesas Empenhadas","10 - Saúde",3526515.89,17,974.983657727398,0.470002764722145
"34",110092,"RO","CHUPINGUAIA",10129,"Não","Despesas Empenhadas","10 - Saúde",7016853.39,42,692.748878467766,0.414651002073255
"35",110094,"RO","CUJUBIM",20974,"Não","Despesas Empenhadas","10 - Saúde",7451791.56,48,355.287096405073,0.22885477257557
"36",110100,"RO","GOVERNADOR JORGE TEIXEIRA",10127,"Não","Despesas Empenhadas","10 - Saúde",6484569.51,35,640.324825713439,0.345610743556828
"37",110110,"RO","ITAPUA DO OESTE",9995,"Não","Despesas Empenhadas","10 - Saúde",4810289.36,33,481.269570785393,0.330165082541271
"38",110120,"RO","MINISTRO ANDREAZZA",10823,"Não","Despesas Empenhadas","10 - Saúde",4506318.41,48,416.365001385937,0.443499953802088
"39",110130,"RO","MIRANTE DA SERRA",12360,"Sim","Despesas Empenhadas","10 - Saúde",4168252.23,56,337.237235436893,0.453074433656958
"40",110140,"RO","MONTE NEGRO",15873,"Não","Despesas Empenhadas","10 - Saúde",7824771.54,69,492.9610999811,0.434700434700435
"41",110143,"RO","NOVA UNIAO",7824,"Sim","Despesas Empenhadas","10 - Saúde",3593071.58,27,459.237165132924,0.345092024539877
"42",110145,"RO","PARECIS",5697,"Não","Despesas Empenhadas","10 - Saúde",3626557.01,15,636.573110408987,0.263296471827278
"43",110146,"RO","PIMENTEIRAS DO OESTE",2424,"Não","Despesas Empenhadas","10 - Saúde",3762089.67,10,1552.01719059406,0.412541254125412
"44",110147,"RO","PRIMAVERA DE RONDONIA",3501,"Não","Despesas Empenhadas","10 - Saúde",2689550.29,22,768.223447586404,0.628391888031991
"45",110148,"RO","SAO FELIPE D'OESTE",6103,"Não","Despesas Empenhadas","10 - Saúde",3635558.67,20,595.700257250533,0.327707684745207
"46",110149,"RO","SAO FRANCISCO DO GUAPORE",19002,"Sim","Despesas Empenhadas","10 - Saúde",8518402.73,72,448.289797389748,0.378907483422798
"47",110150,"RO","SERINGUEIRAS",12581,"Sim","Despesas Empenhadas","10 - Saúde",6350024.08,44,504.731267784755,0.349733725459026
"48",110155,"RO","TEIXEIROPOLIS",5003,"Sim","Despesas Empenhadas","10 - Saúde",3392821.47,19,678.157399560264,0.379772136717969
"49",110160,"RO","THEOBROMA",11347,"Não","Despesas Empenhadas","10 - Saúde",5782217.19,38,509.58113950824,0.334890279368996
"50",110170,"RO","URUPA",13293,"Sim","Despesas Empenhadas","10 - Saúde",4902789.9,55,368.82493793726,0.413751598585722
"51",110175,"RO","VALE DO ANARI",10843,"Não","Despesas Empenhadas","10 - Saúde",4370740.2,32,403.093258323342,0.29512127639952
"52",110180,"RO","VALE DO PARAISO",8231,"Sim","Despesas Empenhadas","10 - Saúde",4821079.41,21,585.722197788847,0.255133033653262
"53",120020,"AC","CRUZEIRO DO SUL",81519,"Não","Despesas Empenhadas","10 - Saúde",24515152.5,373,300.729308504766,0.457562040751236
"54",120032,"AC","JORDAO",7509,"Sim","Despesas Empenhadas","10 - Saúde",3206226.22,14,426.984447995738,0.186442935144493
"55",120033,"AC","MANCIO LIMA",17173,"Não","Despesas Empenhadas","10 - Saúde",4888735.16,75,284.675662959297,0.436732079427008
"56",120035,"AC","MARECHAL THAUMATURGO",16895,"Não","Despesas Empenhadas","10 - Saúde",4902638.34,29,290.182796093519,0.171648416691329
"57",120038,"AC","PLACIDO DE CASTRO",18159,"Não","Despesas Empenhadas","10 - Saúde",3701621.39,73,203.845001927419,0.402004515667162
"58",120039,"AC","PORTO WALTER",10759,"Não","Despesas Empenhadas","10 - Saúde",2921054.78,22,271.498724788549,0.204479970257459
"59",120040,"AC","RIO BRANCO",370550,"Não","Despesas Empenhadas","10 - Saúde",111079693.92,1731,299.769785238159,0.467143435433815
"60",120042,"AC","RODRIGUES ALVES",16974,"Não","Despesas Empenhadas","10 - Saúde",4228550.43,33,249.119266525274,0.194414987628137
"61",120043,"AC","SANTA ROSA DO PURUS",5809,"Não","Despesas Empenhadas","10 - Saúde",1964597.95,25,338.198992941987,0.430366672404889
"62",120050,"AC","SENA MADUREIRA",41750,"Não","Despesas Empenhadas","10 - Saúde",11643716.2,169,278.891405988024,0.404790419161677
"63",120060,"AC","TARAUACA",38819,"Sim","Despesas Empenhadas","10 - Saúde",10618371.98,169,273.535433164172,0.435353821582215
"64",130002,"AM","ALVARAES",15545,"Não","Despesas Empenhadas","10 - Saúde",4344615.43,36,279.486357671277,0.231585718880669
"65",130006,"AM","AMATURA",10847,"Sim","Despesas Empenhadas","10 - Saúde",3880399.35,36,357.739407209367,0.331889001567254
"66",130008,"AM","ANAMA",12320,"Não","Despesas Empenhadas","10 - Saúde",4528255.71,26,367.553223214286,0.211038961038961
"67",130010,"AM","ANORI",19292,"Não","Despesas Empenhadas","10 - Saúde",5329639.38,60,276.261630727763,0.311009744972009
"68",130014,"AM","APUI",20648,"Não","Despesas Empenhadas","10 - Saúde",8213216.81,48,397.772995447501,0.232468035645099
"69",130030,"AM","AUTAZES",37033,"Não","Despesas Empenhadas","10 - Saúde",12994006.73,146,350.876427240569,0.394242972484001
"70",130040,"AM","BARCELOS",27433,"Não","Despesas Empenhadas","10 - Saúde",8543219.9,66,311.42127729377,0.240586155360332
"71",130060,"AM","BENJAMIN CONSTANT",39484,"Sim","Despesas Empenhadas","10 - Saúde",10752545.7,141,272.326656367136,0.357106676121973
"72",130063,"AM","BERURI",18171,"Não","Despesas Empenhadas","10 - Saúde",5069559.4,44,278.991767101425,0.242144075725056
"73",130068,"AM","BOA VISTA DO RAMOS",17668,"Não","Despesas Empenhadas","10 - Saúde",5398188.38,48,305.534773601992,0.271677609237039
"74",130070,"AM","BOCA DO ACRE",33498,"Não","Despesas Empenhadas","10 - Saúde",11012590.59,133,328.753674547734,0.397038629171891
"75",130080,"AM","BORBA",39292,"Não","Despesas Empenhadas","10 - Saúde",15965288,108,406.324137228952,0.274865112491092
"76",130083,"AM","CAAPIRANGA",12420,"Não","Despesas Empenhadas","10 - Saúde",4223884.08,20,340.087285024155,0.161030595813205
"77",130090,"AM","CANUTAMA",15130,"Não","Despesas Empenhadas","10 - Saúde",5762311.66,38,380.853381361533,0.251156642432254
"78",130100,"AM","CARAUARI",27880,"Não","Despesas Empenhadas","10 - Saúde",7495153.81,97,268.836219870875,0.347919655667145
"79",130110,"AM","CAREIRO",36435,"Não","Despesas Empenhadas","10 - Saúde",9438226.93,96,259.042868944696,0.263482914779745
"80",130115,"AM","CAREIRO DA VARZEA",27981,"Não","Despesas Empenhadas","10 - Saúde",7892056.61,44,282.050556091634,0.157249562202923
"81",130120,"AM","COARI",83078,"Não","Despesas Empenhadas","10 - Saúde",44920069.15,311,540.697527022798,0.374346999205566
"82",130130,"AM","CODAJAS",26777,"Não","Despesas Empenhadas","10 - Saúde",7410191.5,68,276.737181162938,0.253949284833999
"83",130150,"AM","ENVIRA",18786,"Não","Despesas Empenhadas","10 - Saúde",5431224,64,289.110188438199,0.340679229213244
"84",130160,"AM","FONTE BOA",20742,"Sim","Despesas Empenhadas","10 - Saúde",8582407.93,71,413.769546331116,0.342300646032205
"85",130165,"AM","GUAJARA",15826,"Não","Despesas Empenhadas","10 - Saúde",5286306.69,50,334.026708580816,0.315935801845065
"86",130170,"AM","HUMAITA",51302,"Não","Despesas Empenhadas","10 - Saúde",23744296.07,176,462.833731043624,0.343066547113173
"87",130180,"AM","IPIXUNA",26860,"Não","Despesas Empenhadas","10 - Saúde",7977423.46,54,297.000128816083,0.201042442293373
"88",130185,"AM","IRANDUBA",45984,"Não","Despesas Empenhadas","10 - Saúde",14918367.18,211,324.425173538622,0.458855254001392
"89",130190,"AM","ITACOATIARA",97122,"Não","Despesas Empenhadas","10 - Saúde",46838353.95,361,482.263070673998,0.371697452688371
